"ID","date","study_no","org_name","org_detail","inoc_conc","incubation","colony_count_raw","bact_hours","csa_hours","hours_diff","comment"
91,2013-04-16,"1047A","glabrata","cg_atcc_15126","3e+05","csa_and_bact",NA,7.41,8.4,0.99,""
92,2013-04-16,"1047B","glabrata","cg_atcc_15126","3e+03","csa_and_bact",NA,16.58,15,-1.58,""
93,2013-04-16,"1047C","glabrata","cg_atcc_15126","30","csa_and_bact",66,32.41,23,-9.41,""
94,2013-04-16,"1047D","glabrata","cg_atcc_15126","0.6","csa_and_bact",1,46.41,27.7,-18.71,""
95,2013-04-16,"1048A","glabrata","cg_atcc_15126","3e+05","csa_and_bact",NA,NA,NA,NA,"bact_cont"
96,2013-04-16,"1048B","glabrata","cg_atcc_15126","3e+03","csa_and_bact",NA,18.24,16.6,-1.64,""
97,2013-04-16,"1048C","glabrata","cg_atcc_15126","30","csa_and_bact",47,46.41,21.3,-25.11,""
98,2013-04-16,"1048D","glabrata","cg_atcc_15126","0.6","csa_and_bact",1,63.24,28.6,-34.64,""
99,2013-04-16,"1049","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
100,2013-04-22,"1050A","glabrata","cg_atcc_15126","3e+05","csa_and_bact",NA,6.68,8.3,1.62,""
101,2013-04-22,"1050B","glabrata","cg_atcc_15126","3e+03","csa_and_bact",NA,22.85,13.7,-9.15,""
102,2013-04-22,"1050C","glabrata","cg_atcc_15126","30","csa_and_bact",100,46.18,20.3,-25.88,""
103,2013-04-22,"1050D","glabrata","cg_atcc_15126","0.6","csa_and_bact",2,64.18,23.7,-40.48,""
104,2013-04-22,"1051A","glabrata","cg_atcc_15126","3e+05","csa_and_bact",NA,7.36,8.3,0.94,""
105,2013-04-22,"1051B","glabrata","cg_atcc_15126","3e+03","csa_and_bact",NA,26.01,13.7,-12.31,""
106,2013-04-22,"1051C","glabrata","cg_atcc_15126","30","csa_and_bact",215,40.85,17.3,-23.55,""
107,2013-04-22,"1051D","glabrata","cg_atcc_15126","0.6","csa_and_bact",5,58.18,22.3,-35.88,""
108,2013-04-22,"1052A","tropicalis","ct_atcc_13803","3e+05","csa_and_bact",NA,7.01,7.2,0.19,""
109,2013-04-22,"1052B","tropicalis","ct_atcc_13803","3e+03","csa_and_bact",NA,11.01,11.6,0.59,""
110,2013-04-22,"1052C","tropicalis","ct_atcc_13803","30","csa_and_bact",87,14.85,15.3,0.450000000000001,""
111,2013-04-22,"1052D","tropicalis","ct_atcc_13803","0.6","csa_and_bact",1,18.85,18.3,-0.550000000000001,""
112,2013-04-22,"1053A","tropicalis","ct_atcc_13803","3e+05","csa_and_bact",NA,7.36,6.9,-0.46,""
113,2013-04-22,"1053B","tropicalis","ct_atcc_13803","3e+03","csa_and_bact",NA,NA,NA,NA,""
114,2013-04-22,"1053C","tropicalis","ct_atcc_13803","30","csa_and_bact",300,13.85,14,0.15,""
115,2013-04-22,"1053D","tropicalis","ct_atcc_13803","0.6","csa_and_bact",2,19.03,18,-1.03,""
116,2013-04-22,"1054A","tropicalis","ct_atcc_13803","3e+05","csa_and_bact",NA,8.36,7.3,-1.06,""
117,2013-04-22,"1054B","tropicalis","ct_atcc_13803","3e+03","csa_and_bact",NA,11.85,12,0.15,""
118,2013-04-22,"1054C","tropicalis","ct_atcc_13803","30","csa_and_bact",105,15.68,15.3,-0.379999999999999,""
119,2013-04-22,"1054D","tropicalis","ct_atcc_13803","0.6","csa_and_bact",1,19.53,18.3,-1.23,""
120,2013-04-22,"1055A","tropicalis","ct_atcc_13803","3e+05","csa_and_bact",NA,7.51,7.4,-0.109999999999999,""
121,2013-04-22,"1055B","tropicalis","ct_atcc_13803","3e+03","csa_and_bact",NA,12.18,12.1,-0.0800000000000001,""
122,2013-04-22,"1055C","tropicalis","ct_atcc_13803","30","csa_and_bact",50,12.68,16,3.32,""
123,2013-04-22,"1055D","tropicalis","ct_atcc_13803","0.6","csa_and_bact",4,20.85,19.7,-1.15,""
124,2013-04-22,"1056","none","neg_ctrl","0","csa_and_bact",NA,NA,NA,NA,""
125,2013-05-24,"1057C","glabrata","cg_atcc_15126","30","csa_only",119,NA,NA,NA,""
126,2013-05-24,"1057D","glabrata","cg_atcc_15126","0.6","csa_only",5,NA,NA,NA,""
127,2013-05-24,"1058C","glabrata","cg_atcc_15126","30","csa_only",110,NA,NA,NA,""
128,2013-05-24,"1058D","glabrata","cg_atcc_15126","0.6","csa_only",1,NA,NA,NA,""
129,2013-05-24,"1059A","lusitaniae","cl_atcc_34449","3e+05","csa_and_bact",NA,8.4,9.6,1.2,""
130,2013-05-24,"1059B","lusitaniae","cl_atcc_34449","3e+03","csa_and_bact",NA,14.88,14.3,-0.58,""
131,2013-05-24,"1059C","lusitaniae","cl_atcc_34449","30","csa_and_bact",76,NA,NA,NA,"bact_cont"
